Sim_ID,Año,Población Calculada,Población Inicial,Tasa (r),Capacidad (K)
SIM-3DB3D3,0,100.0,100.0,0.08,5000.0
SIM-3DB3D3,1,108.15,100.0,0.08,5000.0
SIM-3DB3D3,2,116.95,100.0,0.08,5000.0
SIM-3DB3D3,3,126.44,100.0,0.08,5000.0
SIM-3DB3D3,4,136.68,100.0,0.08,5000.0
SIM-3DB3D3,5,147.73,100.0,0.08,5000.0
SIM-3DB3D3,6,159.64,100.0,0.08,5000.0
SIM-3DB3D3,7,172.48,100.0,0.08,5000.0
SIM-3DB3D3,8,186.31,100.0,0.08,5000.0
SIM-3DB3D3,9,201.2,100.0,0.08,5000.0
SIM-3DB3D3,10,217.23,100.0,0.08,5000.0
SIM-3DB3D3,11,234.47,100.0,0.08,5000.0
SIM-3DB3D3,12,253.01,100.0,0.08,5000.0
SIM-3DB3D3,13,272.94,100.0,0.08,5000.0
SIM-3DB3D3,14,294.33,100.0,0.08,5000.0
SIM-3DB3D3,15,317.29,100.0,0.08,5000.0
SIM-3DB3D3,16,341.91,100.0,0.08,5000.0
SIM-3DB3D3,17,368.29,100.0,0.08,5000.0
SIM-3DB3D3,18,396.53,100.0,0.08,5000.0
SIM-3DB3D3,19,426.73,100.0,0.08,5000.0
SIM-3DB3D3,20,459.01,100.0,0.08,5000.0
SIM-3DB3D3,21,493.47,100.0,0.08,5000.0
SIM-3DB3D3,22,530.21,100.0,0.08,5000.0
SIM-3DB3D3,23,569.34,100.0,0.08,5000.0
SIM-3DB3D3,24,610.97,100.0,0.08,5000.0
SIM-3DB3D3,25,655.19,100.0,0.08,5000.0
SIM-3DB3D3,26,702.09,100.0,0.08,5000.0
SIM-3DB3D3,27,751.77,100.0,0.08,5000.0
SIM-3DB3D3,28,804.32,100.0,0.08,5000.0
SIM-3DB3D3,29,859.79,100.0,0.08,5000.0
SIM-3DB3D3,30,918.24,100.0,0.08,5000.0
SIM-3DB3D3,31,979.74,100.0,0.08,5000.0
SIM-3DB3D3,32,1044.29,100.0,0.08,5000.0
SIM-3DB3D3,33,1111.93,100.0,0.08,5000.0
SIM-3DB3D3,34,1182.63,100.0,0.08,5000.0
SIM-3DB3D3,35,1256.38,100.0,0.08,5000.0
SIM-3DB3D3,36,1333.12,100.0,0.08,5000.0
SIM-3DB3D3,37,1412.78,100.0,0.08,5000.0
SIM-3DB3D3,38,1495.26,100.0,0.08,5000.0
SIM-3DB3D3,39,1580.43,100.0,0.08,5000.0
SIM-3DB3D3,40,1668.14,100.0,0.08,5000.0
SIM-3DB3D3,41,1758.22,100.0,0.08,5000.0
SIM-3DB3D3,42,1850.46,100.0,0.08,5000.0
SIM-3DB3D3,43,1944.64,100.0,0.08,5000.0
SIM-3DB3D3,44,2040.51,100.0,0.08,5000.0
SIM-3DB3D3,45,2137.79,100.0,0.08,5000.0
SIM-3DB3D3,46,2236.21,100.0,0.08,5000.0
SIM-3DB3D3,47,2335.46,100.0,0.08,5000.0
SIM-3DB3D3,48,2435.24,100.0,0.08,5000.0
SIM-3DB3D3,49,2535.22,100.0,0.08,5000.0
SIM-3DB3D3,50,2635.09,100.0,0.08,5000.0
SIM-3DB3D3,51,2734.53,100.0,0.08,5000.0
SIM-3DB3D3,52,2833.23,100.0,0.08,5000.0
SIM-3DB3D3,53,2930.88,100.0,0.08,5000.0
SIM-3DB3D3,54,3027.19,100.0,0.08,5000.0
SIM-3DB3D3,55,3121.9,100.0,0.08,5000.0
SIM-3DB3D3,56,3214.74,100.0,0.08,5000.0
SIM-3DB3D3,57,3305.48,100.0,0.08,5000.0
SIM-3DB3D3,58,3393.91,100.0,0.08,5000.0
SIM-3DB3D3,59,3479.85,100.0,0.08,5000.0
SIM-3DB3D3,60,3563.14,100.0,0.08,5000.0
SIM-3DB3D3,61,3643.64,100.0,0.08,5000.0
SIM-3DB3D3,62,3721.25,100.0,0.08,5000.0
SIM-3DB3D3,63,3795.89,100.0,0.08,5000.0
SIM-3DB3D3,64,3867.5,100.0,0.08,5000.0
SIM-3DB3D3,65,3936.04,100.0,0.08,5000.0
SIM-3DB3D3,66,4001.51,100.0,0.08,5000.0
