Sim_ID,Año,Población Calculada,Población Inicial,Tasa (r),Capacidad (K)
SIM-3F1C00,0,100.0,100.0,0.08,5000.0
SIM-3F1C00,1,108.15,100.0,0.08,5000.0
SIM-3F1C00,2,116.95,100.0,0.08,5000.0
SIM-3F1C00,3,126.44,100.0,0.08,5000.0
SIM-3F1C00,4,136.68,100.0,0.08,5000.0
SIM-3F1C00,5,147.73,100.0,0.08,5000.0
SIM-3F1C00,6,159.64,100.0,0.08,5000.0
SIM-3F1C00,7,172.48,100.0,0.08,5000.0
SIM-3F1C00,8,186.31,100.0,0.08,5000.0
SIM-3F1C00,9,201.2,100.0,0.08,5000.0
SIM-3F1C00,10,217.23,100.0,0.08,5000.0
SIM-3F1C00,11,234.47,100.0,0.08,5000.0
SIM-3F1C00,12,253.01,100.0,0.08,5000.0
SIM-3F1C00,13,272.94,100.0,0.08,5000.0
SIM-3F1C00,14,294.33,100.0,0.08,5000.0
SIM-3F1C00,15,317.29,100.0,0.08,5000.0
SIM-3F1C00,16,341.91,100.0,0.08,5000.0
SIM-3F1C00,17,368.29,100.0,0.08,5000.0
SIM-3F1C00,18,396.53,100.0,0.08,5000.0
SIM-3F1C00,19,426.73,100.0,0.08,5000.0
SIM-3F1C00,20,459.01,100.0,0.08,5000.0
SIM-3F1C00,21,493.47,100.0,0.08,5000.0
SIM-3F1C00,22,530.21,100.0,0.08,5000.0
SIM-3F1C00,23,569.34,100.0,0.08,5000.0
SIM-3F1C00,24,610.97,100.0,0.08,5000.0
SIM-3F1C00,25,655.19,100.0,0.08,5000.0
SIM-3F1C00,26,702.09,100.0,0.08,5000.0
SIM-3F1C00,27,751.77,100.0,0.08,5000.0
SIM-3F1C00,28,804.32,100.0,0.08,5000.0
SIM-3F1C00,29,859.79,100.0,0.08,5000.0
SIM-3F1C00,30,918.24,100.0,0.08,5000.0
SIM-3F1C00,31,979.74,100.0,0.08,5000.0
SIM-3F1C00,32,1044.29,100.0,0.08,5000.0
SIM-3F1C00,33,1111.93,100.0,0.08,5000.0
SIM-3F1C00,34,1182.63,100.0,0.08,5000.0
SIM-3F1C00,35,1256.38,100.0,0.08,5000.0
SIM-3F1C00,36,1333.12,100.0,0.08,5000.0
SIM-3F1C00,37,1412.78,100.0,0.08,5000.0
SIM-3F1C00,38,1495.26,100.0,0.08,5000.0
SIM-3F1C00,39,1580.43,100.0,0.08,5000.0
SIM-3F1C00,40,1668.14,100.0,0.08,5000.0
SIM-3F1C00,41,1758.22,100.0,0.08,5000.0
SIM-3F1C00,42,1850.46,100.0,0.08,5000.0
SIM-3F1C00,43,1944.64,100.0,0.08,5000.0
SIM-3F1C00,44,2040.51,100.0,0.08,5000.0
SIM-3F1C00,45,2137.79,100.0,0.08,5000.0
SIM-3F1C00,46,2236.21,100.0,0.08,5000.0
SIM-3F1C00,47,2335.46,100.0,0.08,5000.0
SIM-3F1C00,48,2435.24,100.0,0.08,5000.0
SIM-3F1C00,49,2535.22,100.0,0.08,5000.0
SIM-3F1C00,50,2635.09,100.0,0.08,5000.0
SIM-3F1C00,51,2734.53,100.0,0.08,5000.0
SIM-3F1C00,52,2833.23,100.0,0.08,5000.0
SIM-3F1C00,53,2930.88,100.0,0.08,5000.0
SIM-3F1C00,54,3027.19,100.0,0.08,5000.0
SIM-3F1C00,55,3121.9,100.0,0.08,5000.0
SIM-3F1C00,56,3214.74,100.0,0.08,5000.0
SIM-3F1C00,57,3305.48,100.0,0.08,5000.0
SIM-3F1C00,58,3393.91,100.0,0.08,5000.0
SIM-3F1C00,59,3479.85,100.0,0.08,5000.0
SIM-3F1C00,60,3563.14,100.0,0.08,5000.0
SIM-3F1C00,61,3643.64,100.0,0.08,5000.0
SIM-3F1C00,62,3721.25,100.0,0.08,5000.0
SIM-3F1C00,63,3795.89,100.0,0.08,5000.0
SIM-3F1C00,64,3867.5,100.0,0.08,5000.0
SIM-3F1C00,65,3936.04,100.0,0.08,5000.0
SIM-3F1C00,66,4001.51,100.0,0.08,5000.0
SIM-3F1C00,67,4063.9,100.0,0.08,5000.0
SIM-3F1C00,68,4123.25,100.0,0.08,5000.0
SIM-3F1C00,69,4179.6,100.0,0.08,5000.0
SIM-3F1C00,70,4233.0,100.0,0.08,5000.0
SIM-3F1C00,71,4283.52,100.0,0.08,5000.0
SIM-3F1C00,72,4331.24,100.0,0.08,5000.0
SIM-3F1C00,73,4376.24,100.0,0.08,5000.0
SIM-3F1C00,74,4418.62,100.0,0.08,5000.0
SIM-3F1C00,75,4458.48,100.0,0.08,5000.0
SIM-3F1C00,76,4495.92,100.0,0.08,5000.0
SIM-3F1C00,77,4531.04,100.0,0.08,5000.0
SIM-3F1C00,78,4563.95,100.0,0.08,5000.0
SIM-3F1C00,79,4594.76,100.0,0.08,5000.0
SIM-3F1C00,80,4623.57,100.0,0.08,5000.0
SIM-3F1C00,81,4650.48,100.0,0.08,5000.0
SIM-3F1C00,82,4675.61,100.0,0.08,5000.0
SIM-3F1C00,83,4699.05,100.0,0.08,5000.0
SIM-3F1C00,84,4720.9,100.0,0.08,5000.0
SIM-3F1C00,85,4741.25,100.0,0.08,5000.0
SIM-3F1C00,86,4760.19,100.0,0.08,5000.0
SIM-3F1C00,87,4777.8,100.0,0.08,5000.0
SIM-3F1C00,88,4794.18,100.0,0.08,5000.0
SIM-3F1C00,89,4809.41,100.0,0.08,5000.0
SIM-3F1C00,90,4823.54,100.0,0.08,5000.0
SIM-3F1C00,91,4836.67,100.0,0.08,5000.0
SIM-3F1C00,92,4848.84,100.0,0.08,5000.0
SIM-3F1C00,93,4860.14,100.0,0.08,5000.0
SIM-3F1C00,94,4870.61,100.0,0.08,5000.0
SIM-3F1C00,95,4880.32,100.0,0.08,5000.0
SIM-3F1C00,96,4889.32,100.0,0.08,5000.0
SIM-3F1C00,97,4897.66,100.0,0.08,5000.0
SIM-3F1C00,98,4905.38,100.0,0.08,5000.0
SIM-3F1C00,99,4912.52,100.0,0.08,5000.0
SIM-3F1C00,100,4919.14,100.0,0.08,5000.0
