Sim_ID,Año,Población Calculada,Población Inicial,Tasa (r),Capacidad (K)
SIM-628E76,0,100.0,100.0,0.08,5000.0
SIM-628E76,1,108.15,100.0,0.08,5000.0
SIM-628E76,2,116.95,100.0,0.08,5000.0
SIM-628E76,3,126.44,100.0,0.08,5000.0
SIM-628E76,4,136.68,100.0,0.08,5000.0
SIM-628E76,5,147.73,100.0,0.08,5000.0
SIM-628E76,6,159.64,100.0,0.08,5000.0
SIM-628E76,7,172.48,100.0,0.08,5000.0
SIM-628E76,8,186.31,100.0,0.08,5000.0
SIM-628E76,9,201.2,100.0,0.08,5000.0
SIM-628E76,10,217.23,100.0,0.08,5000.0
SIM-628E76,11,234.47,100.0,0.08,5000.0
SIM-628E76,12,253.01,100.0,0.08,5000.0
SIM-628E76,13,272.94,100.0,0.08,5000.0
SIM-628E76,14,294.33,100.0,0.08,5000.0
SIM-628E76,15,317.29,100.0,0.08,5000.0
SIM-628E76,16,341.91,100.0,0.08,5000.0
SIM-628E76,17,368.29,100.0,0.08,5000.0
SIM-628E76,18,396.53,100.0,0.08,5000.0
SIM-628E76,19,426.73,100.0,0.08,5000.0
SIM-628E76,20,459.01,100.0,0.08,5000.0
SIM-628E76,21,493.47,100.0,0.08,5000.0
SIM-628E76,22,530.21,100.0,0.08,5000.0
SIM-628E76,23,569.34,100.0,0.08,5000.0
SIM-628E76,24,610.97,100.0,0.08,5000.0
SIM-628E76,25,655.19,100.0,0.08,5000.0
SIM-628E76,26,702.09,100.0,0.08,5000.0
SIM-628E76,27,751.77,100.0,0.08,5000.0
SIM-628E76,28,804.32,100.0,0.08,5000.0
SIM-628E76,29,859.79,100.0,0.08,5000.0
SIM-628E76,30,918.24,100.0,0.08,5000.0
SIM-628E76,31,979.74,100.0,0.08,5000.0
SIM-628E76,32,1044.29,100.0,0.08,5000.0
SIM-628E76,33,1111.93,100.0,0.08,5000.0
SIM-628E76,34,1182.63,100.0,0.08,5000.0
SIM-628E76,35,1256.38,100.0,0.08,5000.0
SIM-628E76,36,1333.12,100.0,0.08,5000.0
SIM-628E76,37,1412.78,100.0,0.08,5000.0
SIM-628E76,38,1495.26,100.0,0.08,5000.0
SIM-628E76,39,1580.43,100.0,0.08,5000.0
SIM-628E76,40,1668.14,100.0,0.08,5000.0
SIM-628E76,41,1758.22,100.0,0.08,5000.0
SIM-628E76,42,1850.46,100.0,0.08,5000.0
SIM-628E76,43,1944.64,100.0,0.08,5000.0
SIM-628E76,44,2040.51,100.0,0.08,5000.0
SIM-628E76,45,2137.79,100.0,0.08,5000.0
SIM-628E76,46,2236.21,100.0,0.08,5000.0
SIM-628E76,47,2335.46,100.0,0.08,5000.0
SIM-628E76,48,2435.24,100.0,0.08,5000.0
SIM-628E76,49,2535.22,100.0,0.08,5000.0
SIM-628E76,50,2635.09,100.0,0.08,5000.0
SIM-628E76,51,2734.53,100.0,0.08,5000.0
SIM-628E76,52,2833.23,100.0,0.08,5000.0
SIM-628E76,53,2930.88,100.0,0.08,5000.0
SIM-628E76,54,3027.19,100.0,0.08,5000.0
