Sim_ID,Año,Población Calculada,Población Inicial,Tasa (r),Capacidad (K)
SIM-90F8F9,0,100.0,100.0,0.08,5000.0
SIM-90F8F9,1,108.15,100.0,0.08,5000.0
SIM-90F8F9,2,116.95,100.0,0.08,5000.0
SIM-90F8F9,3,126.44,100.0,0.08,5000.0
SIM-90F8F9,4,136.68,100.0,0.08,5000.0
SIM-90F8F9,5,147.73,100.0,0.08,5000.0
SIM-90F8F9,6,159.64,100.0,0.08,5000.0
SIM-90F8F9,7,172.48,100.0,0.08,5000.0
SIM-90F8F9,8,186.31,100.0,0.08,5000.0
SIM-90F8F9,9,201.2,100.0,0.08,5000.0
SIM-90F8F9,10,217.23,100.0,0.08,5000.0
SIM-90F8F9,11,234.47,100.0,0.08,5000.0
SIM-90F8F9,12,253.01,100.0,0.08,5000.0
SIM-90F8F9,13,272.94,100.0,0.08,5000.0
SIM-90F8F9,14,294.33,100.0,0.08,5000.0
SIM-90F8F9,15,317.29,100.0,0.08,5000.0
SIM-90F8F9,16,341.91,100.0,0.08,5000.0
SIM-90F8F9,17,368.29,100.0,0.08,5000.0
SIM-90F8F9,18,396.53,100.0,0.08,5000.0
SIM-90F8F9,19,426.73,100.0,0.08,5000.0
SIM-90F8F9,20,459.01,100.0,0.08,5000.0
SIM-90F8F9,21,493.47,100.0,0.08,5000.0
SIM-90F8F9,22,530.21,100.0,0.08,5000.0
SIM-90F8F9,23,569.34,100.0,0.08,5000.0
SIM-90F8F9,24,610.97,100.0,0.08,5000.0
SIM-90F8F9,25,655.19,100.0,0.08,5000.0
SIM-90F8F9,26,702.09,100.0,0.08,5000.0
SIM-90F8F9,27,751.77,100.0,0.08,5000.0
SIM-90F8F9,28,804.32,100.0,0.08,5000.0
SIM-90F8F9,29,859.79,100.0,0.08,5000.0
SIM-90F8F9,30,918.24,100.0,0.08,5000.0
SIM-90F8F9,31,979.74,100.0,0.08,5000.0
SIM-90F8F9,32,1044.29,100.0,0.08,5000.0
SIM-90F8F9,33,1111.93,100.0,0.08,5000.0
SIM-90F8F9,34,1182.63,100.0,0.08,5000.0
SIM-90F8F9,35,1256.38,100.0,0.08,5000.0
SIM-90F8F9,36,1333.12,100.0,0.08,5000.0
SIM-90F8F9,37,1412.78,100.0,0.08,5000.0
SIM-90F8F9,38,1495.26,100.0,0.08,5000.0
SIM-90F8F9,39,1580.43,100.0,0.08,5000.0
SIM-90F8F9,40,1668.14,100.0,0.08,5000.0
SIM-90F8F9,41,1758.22,100.0,0.08,5000.0
SIM-90F8F9,42,1850.46,100.0,0.08,5000.0
SIM-90F8F9,43,1944.64,100.0,0.08,5000.0
SIM-90F8F9,44,2040.51,100.0,0.08,5000.0
SIM-90F8F9,45,2137.79,100.0,0.08,5000.0
SIM-90F8F9,46,2236.21,100.0,0.08,5000.0
SIM-90F8F9,47,2335.46,100.0,0.08,5000.0
SIM-90F8F9,48,2435.24,100.0,0.08,5000.0
SIM-90F8F9,49,2535.22,100.0,0.08,5000.0
SIM-90F8F9,50,2635.09,100.0,0.08,5000.0
