Sim_ID,Año,Población Calculada,Población Inicial,Tasa (r),Capacidad (K)
SIM-CF11A2,0,100.0,100.0,0.08,5000.0
SIM-CF11A2,1,108.15,100.0,0.08,5000.0
SIM-CF11A2,2,116.95,100.0,0.08,5000.0
SIM-CF11A2,3,126.44,100.0,0.08,5000.0
SIM-CF11A2,4,136.68,100.0,0.08,5000.0
SIM-CF11A2,5,147.73,100.0,0.08,5000.0
SIM-CF11A2,6,159.64,100.0,0.08,5000.0
SIM-CF11A2,7,172.48,100.0,0.08,5000.0
SIM-CF11A2,8,186.31,100.0,0.08,5000.0
SIM-CF11A2,9,201.2,100.0,0.08,5000.0
SIM-CF11A2,10,217.23,100.0,0.08,5000.0
SIM-CF11A2,11,234.47,100.0,0.08,5000.0
SIM-CF11A2,12,253.01,100.0,0.08,5000.0
SIM-CF11A2,13,272.94,100.0,0.08,5000.0
SIM-CF11A2,14,294.33,100.0,0.08,5000.0
SIM-CF11A2,15,317.29,100.0,0.08,5000.0
SIM-CF11A2,16,341.91,100.0,0.08,5000.0
SIM-CF11A2,17,368.29,100.0,0.08,5000.0
SIM-CF11A2,18,396.53,100.0,0.08,5000.0
SIM-CF11A2,19,426.73,100.0,0.08,5000.0
SIM-CF11A2,20,459.01,100.0,0.08,5000.0
SIM-CF11A2,21,493.47,100.0,0.08,5000.0
SIM-CF11A2,22,530.21,100.0,0.08,5000.0
SIM-CF11A2,23,569.34,100.0,0.08,5000.0
SIM-CF11A2,24,610.97,100.0,0.08,5000.0
SIM-CF11A2,25,655.19,100.0,0.08,5000.0
SIM-CF11A2,26,702.09,100.0,0.08,5000.0
SIM-CF11A2,27,751.77,100.0,0.08,5000.0
SIM-CF11A2,28,804.32,100.0,0.08,5000.0
SIM-CF11A2,29,859.79,100.0,0.08,5000.0
SIM-CF11A2,30,918.24,100.0,0.08,5000.0
SIM-CF11A2,31,979.74,100.0,0.08,5000.0
SIM-CF11A2,32,1044.29,100.0,0.08,5000.0
SIM-CF11A2,33,1111.93,100.0,0.08,5000.0
SIM-CF11A2,34,1182.63,100.0,0.08,5000.0
SIM-CF11A2,35,1256.38,100.0,0.08,5000.0
SIM-CF11A2,36,1333.12,100.0,0.08,5000.0
SIM-CF11A2,37,1412.78,100.0,0.08,5000.0
SIM-CF11A2,38,1495.26,100.0,0.08,5000.0
SIM-CF11A2,39,1580.43,100.0,0.08,5000.0
SIM-CF11A2,40,1668.14,100.0,0.08,5000.0
SIM-CF11A2,41,1758.22,100.0,0.08,5000.0
SIM-CF11A2,42,1850.46,100.0,0.08,5000.0
SIM-CF11A2,43,1944.64,100.0,0.08,5000.0
SIM-CF11A2,44,2040.51,100.0,0.08,5000.0
SIM-CF11A2,45,2137.79,100.0,0.08,5000.0
SIM-CF11A2,46,2236.21,100.0,0.08,5000.0
SIM-CF11A2,47,2335.46,100.0,0.08,5000.0
SIM-CF11A2,48,2435.24,100.0,0.08,5000.0
SIM-CF11A2,49,2535.22,100.0,0.08,5000.0
SIM-CF11A2,50,2635.09,100.0,0.08,5000.0
SIM-CF11A2,51,2734.53,100.0,0.08,5000.0
SIM-CF11A2,52,2833.23,100.0,0.08,5000.0
SIM-CF11A2,53,2930.88,100.0,0.08,5000.0
SIM-CF11A2,54,3027.19,100.0,0.08,5000.0
SIM-CF11A2,55,3121.9,100.0,0.08,5000.0
SIM-CF11A2,56,3214.74,100.0,0.08,5000.0
SIM-CF11A2,57,3305.48,100.0,0.08,5000.0
SIM-CF11A2,58,3393.91,100.0,0.08,5000.0
SIM-CF11A2,59,3479.85,100.0,0.08,5000.0
SIM-CF11A2,60,3563.14,100.0,0.08,5000.0
SIM-CF11A2,61,3643.64,100.0,0.08,5000.0
SIM-CF11A2,62,3721.25,100.0,0.08,5000.0
SIM-CF11A2,63,3795.89,100.0,0.08,5000.0
SIM-CF11A2,64,3867.5,100.0,0.08,5000.0
SIM-CF11A2,65,3936.04,100.0,0.08,5000.0
SIM-CF11A2,66,4001.51,100.0,0.08,5000.0
SIM-CF11A2,67,4063.9,100.0,0.08,5000.0
SIM-CF11A2,68,4123.25,100.0,0.08,5000.0
SIM-CF11A2,69,4179.6,100.0,0.08,5000.0
SIM-CF11A2,70,4233.0,100.0,0.08,5000.0
SIM-CF11A2,71,4283.52,100.0,0.08,5000.0
SIM-CF11A2,72,4331.24,100.0,0.08,5000.0
SIM-CF11A2,73,4376.24,100.0,0.08,5000.0
SIM-CF11A2,74,4418.62,100.0,0.08,5000.0
SIM-CF11A2,75,4458.48,100.0,0.08,5000.0
SIM-CF11A2,76,4495.92,100.0,0.08,5000.0
SIM-CF11A2,77,4531.04,100.0,0.08,5000.0
SIM-CF11A2,78,4563.95,100.0,0.08,5000.0
SIM-CF11A2,79,4594.76,100.0,0.08,5000.0
SIM-CF11A2,80,4623.57,100.0,0.08,5000.0
SIM-CF11A2,81,4650.48,100.0,0.08,5000.0
SIM-CF11A2,82,4675.61,100.0,0.08,5000.0
SIM-CF11A2,83,4699.05,100.0,0.08,5000.0
SIM-CF11A2,84,4720.9,100.0,0.08,5000.0
SIM-CF11A2,85,4741.25,100.0,0.08,5000.0
SIM-CF11A2,86,4760.19,100.0,0.08,5000.0
SIM-CF11A2,87,4777.8,100.0,0.08,5000.0
SIM-CF11A2,88,4794.18,100.0,0.08,5000.0
