Sim_ID,Año,Población Calculada,Población Inicial,Tasa (r),Capacidad (K)
SIM-FBB0C8,0,100.0,100.0,0.08,5000.0
SIM-FBB0C8,1,108.15,100.0,0.08,5000.0
SIM-FBB0C8,2,116.95,100.0,0.08,5000.0
SIM-FBB0C8,3,126.44,100.0,0.08,5000.0
SIM-FBB0C8,4,136.68,100.0,0.08,5000.0
SIM-FBB0C8,5,147.73,100.0,0.08,5000.0
SIM-FBB0C8,6,159.64,100.0,0.08,5000.0
SIM-FBB0C8,7,172.48,100.0,0.08,5000.0
SIM-FBB0C8,8,186.31,100.0,0.08,5000.0
SIM-FBB0C8,9,201.2,100.0,0.08,5000.0
SIM-FBB0C8,10,217.23,100.0,0.08,5000.0
SIM-FBB0C8,11,234.47,100.0,0.08,5000.0
SIM-FBB0C8,12,253.01,100.0,0.08,5000.0
SIM-FBB0C8,13,272.94,100.0,0.08,5000.0
SIM-FBB0C8,14,294.33,100.0,0.08,5000.0
SIM-FBB0C8,15,317.29,100.0,0.08,5000.0
SIM-FBB0C8,16,341.91,100.0,0.08,5000.0
SIM-FBB0C8,17,368.29,100.0,0.08,5000.0
SIM-FBB0C8,18,396.53,100.0,0.08,5000.0
SIM-FBB0C8,19,426.73,100.0,0.08,5000.0
SIM-FBB0C8,20,459.01,100.0,0.08,5000.0
SIM-FBB0C8,21,493.47,100.0,0.08,5000.0
SIM-FBB0C8,22,530.21,100.0,0.08,5000.0
SIM-FBB0C8,23,569.34,100.0,0.08,5000.0
SIM-FBB0C8,24,610.97,100.0,0.08,5000.0
SIM-FBB0C8,25,655.19,100.0,0.08,5000.0
SIM-FBB0C8,26,702.09,100.0,0.08,5000.0
SIM-FBB0C8,27,751.77,100.0,0.08,5000.0
SIM-FBB0C8,28,804.32,100.0,0.08,5000.0
SIM-FBB0C8,29,859.79,100.0,0.08,5000.0
SIM-FBB0C8,30,918.24,100.0,0.08,5000.0
SIM-FBB0C8,31,979.74,100.0,0.08,5000.0
SIM-FBB0C8,32,1044.29,100.0,0.08,5000.0
SIM-FBB0C8,33,1111.93,100.0,0.08,5000.0
SIM-FBB0C8,34,1182.63,100.0,0.08,5000.0
SIM-FBB0C8,35,1256.38,100.0,0.08,5000.0
SIM-FBB0C8,36,1333.12,100.0,0.08,5000.0
